ranking,country,regional_indicator,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,year
106,Iran,Middle East and North Africa,4.7066,6.41904,0.6419,68.0,0.63405,0.47256,0.28289,2018
117,Iraq,Middle East and North Africa,4.4556,6.12391,0.61239,65.0,0.41918,0.24709,0.20703,2018
14,Ireland,Western Europe,6.9771,8.77826,0.87783,72.0,0.84746,0.51293,0.66923,2018
11,Israel,Middle East and North Africa,7.19,7.54265,0.75427,73.0,0.64053,0.43921,0.17875,2018
47,Italy,Western Europe,6.0004,7.66585,0.76659,74.0,0.38789,0.2285,0.06226,2018
107,Ivory Coast,Sub-Saharan Africa,4.6712,3.27954,0.32795,55.0,0.64394,0.24498,0.2253,2018
56,Jamaica,Latin America and Caribbean,5.8898,4.96379,0.49638,68.0,0.79405,0.16111,0.06848,2018
54,Japan,East Asia,5.915,7.8482,0.78482,75.0,0.76331,0.13154,0.32754,2018
90,Jordan,Middle East and North Africa,5.1607,4.98216,0.49822,67.0,0.64574,0.21729,0.29362,2018
60,Kazakhstan,Commonwealth of Independent States,5.7901,6.92895,0.6929,67.0,0.62611,0.24699,0.26414,2018
124,Kenya,Sub-Saharan Africa,4.4097,2.98993,0.29899,63.0,0.69526,0.58984,0.12066,2018
66,Kosovo,Central and Eastern Europe,5.6621,5.1836,0.51836,66.0,0.61861,0.45827,0.05025,2018
45,Kuwait,Middle East and North Africa,6.0834,8.93673,0.89367,68.0,0.76508,0.28009,0.23236,2018
92,Kyrgyzstan,Commonwealth of Independent States,5.1308,3.21183,0.32118,66.0,0.74521,0.46971,0.07567,2018
110,Laos,East Asia,4.6231,4.36469,0.43647,63.0,0.86436,0.38437,0.38006,2018
53,Latvia,Western Europe,5.9331,6.96159,0.69616,68.0,0.50098,0.15337,0.14516,2018
88,Lebanon,Middle East and North Africa,5.1989,5.84904,0.5849,70.0,0.40257,0.31214,0.07353,2018
141,Lesotho,Sub-Saharan Africa,3.8082,2.86516,0.28652,55.0,0.58379,0.19347,0.24401,2018
149,Liberia,Sub-Saharan Africa,3.4954,0.45922,0.04592,59.0,0.57819,0.34407,0.0657,2018
70,Libya,Middle East and North Africa,5.5657,5.97401,0.5974,65.0,0.68453,0.19333,0.32432,2018
50,Lithuania,Western Europe,5.9519,7.25776,0.72578,69.0,0.48291,0.04378,0.01391,2018
17,Luxembourg,Western Europe,6.9099,9.55748,0.95575,73.0,0.87238,0.32808,0.70243,2018
89,Macedonia,Central and Eastern Europe,5.1848,5.81755,0.58176,68.0,0.54451,0.28988,0.1148,2018
143,Madagascar,Sub-Saharan Africa,3.7736,1.59086,0.15909,62.0,0.30514,0.25867,0.10621,2018
147,Malawi,Sub-Saharan Africa,3.5868,1.12839,0.11284,60.0,0.73231,0.35196,0.17561,2018
35,Malaysia,Southeast Asia,6.3221,7.04231,0.70423,68.0,0.4916,0.52117,0.12945,2018
118,Mali,Sub-Saharan Africa,4.447,2.24252,0.22425,56.0,0.50698,0.23319,0.12232,2018
22,Malta,Western Europe,6.6266,7.7026,0.77026,72.0,0.89076,0.62889,0.31128,2018
126,Mauritania,Middle East and North Africa,4.3555,3.37786,0.33779,59.0,0.17742,0.22454,0.20422,2018
55,Mauritius,Sub-Saharan Africa,5.8915,6.6107,0.66107,68.0,0.80596,0.41003,0.10917,2018
24,Mexico,Latin America and Caribbean,6.4882,6.29594,0.62959,70.0,0.66142,0.11494,0.20724,2018
67,Moldova,Central and Eastern Europe,5.6397,3.98173,0.39817,67.0,0.32046,0.28607,0.00071,2018
94,Mongolia,East Asia,5.1246,5.54363,0.55436,66.0,0.5454,0.42312,0.0694,2018
81,Montenegro,Central and Eastern Europe,5.3475,6.16886,0.61689,69.0,0.35787,0.18644,0.17823,2018
85,Morocco,Middle East and North Africa,5.2537,4.72266,0.47227,68.0,0.6351,0.04417,0.1625,2018
123,Mozambique,Sub-Saharan Africa,4.4166,1.20071,0.12007,57.0,0.73276,0.34411,0.34628,2018
130,Myanmar,Southeast Asia,4.3078,4.13651,0.41365,62.0,0.80008,1.0,0.38965,2018
119,Namibia,Sub-Saharan Africa,4.4413,5.29893,0.52989,61.0,0.71678,0.08472,0.14045,2018
101,Nepal,South Asia,4.8804,2.57953,0.25795,65.0,0.72622,0.50541,0.17043,2018
6,Netherlands,Western Europe,7.4413,8.25267,0.82527,72.0,0.88072,0.55786,0.64467,2018
8,New Zealand,North America and ANZ,7.3238,7.68935,0.76894,72.0,0.92324,0.61109,0.85091,2018
41,Nicaragua,Latin America and Caribbean,6.141,4.05262,0.40526,68.0,0.72707,0.34752,0.28115,2018
134,Niger,Sub-Saharan Africa,4.1655,0.79653,0.07965,58.0,0.53802,0.29345,0.21643,2018
91,Nigeria,Sub-Saharan Africa,5.1554,4.17888,0.41789,54.0,0.6375,0.33643,0.06948,2018
2,Norway,Western Europe,7.5937,8.82704,0.8827,72.0,0.94747,0.478,0.74335,2018
75,Pakistan,South Asia,5.4725,3.95645,0.39565,62.0,0.4615,0.3616,0.24792,2018
104,Palestinian Territories,Middle East and North Africa,4.7433,3.89563,0.38956,66.0,0.36738,0.14384,0.16731,2018
27,Panama,Latin America and Caribbean,6.43,6.74448,0.67445,70.0,0.82386,0.20836,0.13806,2018
64,Paraguay,Latin America and Caribbean,5.6806,5.06096,0.5061,66.0,0.74611,0.27112,0.16204,2018
65,Peru,Latin America and Caribbean,5.6632,5.66092,0.56609,68.0,0.73153,0.15321,0.07477,2018
71,Philippines,Southeast Asia,5.5241,4.70173,0.47017,64.0,0.88732,0.20069,0.23016,2018
42,Poland,Central and Eastern Europe,6.123,7.12858,0.71286,70.0,0.75327,0.18002,0.13975,2018
77,Portugal,Western Europe,5.4104,7.20119,0.72012,72.0,0.77578,0.09189,0.03637,2018
32,Qatar,Middle East and North Africa,6.3745,10.0,1.0,69.0,0.90279,0.42923,0.37321,2018
52,Romania,Central and Eastern Europe,5.9452,6.76524,0.67652,69.0,0.72814,0.14652,0.00151,2018
59,Russia,Commonwealth of Independent States,5.8097,6.98035,0.69803,66.0,0.55114,0.10887,0.05552,2018
151,Rwanda,Sub-Saharan Africa,3.4081,2.01526,0.20153,62.0,0.87775,0.3342,0.97269,2018
33,Saudi Arabia,Middle East and North Africa,6.3709,8.36094,0.83609,67.0,0.70251,0.16457,0.27756,2018
109,Senegal,Sub-Saharan Africa,4.6311,2.60092,0.26009,62.0,0.55978,0.23093,0.17972,2018
78,Serbia,Central and Eastern Europe,5.3982,5.91065,0.59107,68.0,0.39734,0.22387,0.09388,2018
113,Sierra Leone,Sub-Saharan Africa,4.5706,1.55335,0.15534,53.0,0.49026,0.39865,0.11603,2018
34,Singapore,Southeast Asia,6.3432,9.27376,0.92738,75.0,0.87145,0.43746,1.0,2018
39,Slovakia,Central and Eastern Europe,6.1734,7.33687,0.73369,70.0,0.48797,0.1968,0.03024,2018
51,Slovenia,Central and Eastern Europe,5.9476,7.39238,0.73924,72.0,0.87363,0.26741,0.1115,2018
98,Somalia,Sub-Saharan Africa,4.9815,0.0,0.0,55.0,0.9298,0.39825,0.61731,2018
105,South Africa,Sub-Saharan Africa,4.724,5.69972,0.56997,60.0,0.71291,0.17297,0.12199,2018
57,South Korea,East Asia,5.8749,7.67899,0.7679,74.0,0.33706,0.29205,0.11256,2018
154,South Sudan,Sub-Saharan Africa,3.2542,2.04584,0.20458,57.0,0.15405,0.37473,0.23125,2018
36,Spain,Western Europe,6.3099,7.58504,0.7585,74.0,0.61954,0.23689,0.16155,2018
116,Sri Lanka,South Asia,4.4706,5.56592,0.55659,68.0,0.80765,0.51444,0.10982,2018
137,Sudan,Middle East and North Africa,4.1387,3.66889,0.36689,60.0,0.02241,0.22408,0.1789,2018
9,Sweden,Western Europe,7.3145,8.2195,0.82195,73.0,0.91018,0.47638,0.83859,2018
5,Switzerland,Western Europe,7.4873,8.60934,0.86093,73.0,0.9107,0.42761,0.78053,2018
150,Syria,Middle East and North Africa,3.4619,4.17681,0.41768,65.0,0.12185,0.62906,0.31581,2018
26,Taiwan,East Asia,6.4406,8.27779,0.82778,72.0,0.57636,0.25205,0.17038,2018
80,Tajikistan,Commonwealth of Independent States,5.3525,2.87522,0.28752,66.0,0.69498,0.35825,0.2966,2018
153,Tanzania,Sub-Saharan Africa,3.3035,2.75833,0.27583,61.0,0.66382,0.45189,0.2127,2018
46,Thailand,Southeast Asia,6.0723,6.16091,0.61609,69.0,0.87972,0.60841,0.06378,2018
139,Togo,Sub-Saharan Africa,3.9985,1.57278,0.15728,58.0,0.59922,0.26475,0.22031,2018
38,Trinidad & Tobago,Latin America and Caribbean,6.1919,7.41459,0.74146,65.0,0.79379,0.28628,0.04081,2018
111,Tunisia,Middle East and North Africa,4.5924,5.4561,0.54561,68.0,0.37338,0.06729,0.1373,2018
74,Turkey,Middle East and North Africa,5.4825,6.96361,0.69636,68.0,0.4476,0.17672,0.23805,2018
68,Turkmenistan,Commonwealth of Independent States,5.6362,6.1586,0.61586,64.0,0.57504,0.33316,0.08165,2018
135,Uganda,Sub-Saharan Africa,4.1608,1.95126,0.19513,58.0,0.62074,0.43413,0.13262,2018
138,Ukraine,Commonwealth of Independent States,4.1029,4.80881,0.48088,66.0,0.2244,0.31287,0.02504,2018
20,United Arab Emirates,Middle East and North Africa,6.7741,8.89677,0.88968,70.0,0.92458,0.47512,0.40621,2018
19,United Kingdom,Western Europe,6.8143,7.89125,0.78913,72.0,0.73525,0.59295,0.59538,2018
18,United States,North America and ANZ,6.886,8.47785,0.84778,71.0,0.75547,0.48629,0.292,2018
31,Uruguay,Latin America and Caribbean,6.3788,6.626,0.6626,70.0,0.86249,0.21691,0.33992,2018
44,Uzbekistan,Commonwealth of Independent States,6.0961,4.35917,0.43592,66.0,1.0,0.54854,0.56622,2018
102,Venezuela,Latin America and Caribbean,4.8056,6.03779,0.60378,67.0,0.18372,0.09425,0.11299,2018
95,Vietnam,Southeast Asia,5.1032,4.33358,0.43336,68.0,0.85336,0.29628,0.17397,2018
152,Yemen,Middle East and North Africa,3.3549,2.67746,0.26775,60.0,0.33662,0.13905,0.14037,2018
125,Zambia,Sub-Saharan Africa,4.3771,3.41039,0.34104,59.0,0.69374,0.37046,0.17933,2018
144,Zimbabwe,Sub-Saharan Africa,3.6923,2.16659,0.21666,58.0,0.56038,0.22083,0.21651,2018
1,Finland,Western Europe,7.7689,7.95824,0.9776,76.0,0.944,0.26989,0.86796,2019
2,Denmark,Western Europe,7.6001,8.21474,0.96855,76.0,0.93839,0.44593,0.90675,2019
3,Norway,Western Europe,7.5539,8.83423,0.97407,77.0,0.95605,0.47948,0.75302,2019
4,Iceland,Western Europe,7.4936,8.19529,1.0,77.0,0.93609,0.62627,0.26062,2019
5,Netherlands,Western Europe,7.4876,8.28945,0.93733,76.0,0.8825,0.56986,0.65824,2019
6,Switzerland,Western Europe,7.4802,8.6233,0.94003,77.0,0.90538,0.46563,0.75685,2019
7,Sweden,Western Europe,7.3433,8.23337,0.91603,76.0,0.90998,0.47192,0.82442,2019
8,New Zealand,North America and ANZ,7.3075,7.73464,0.95909,77.0,0.92697,0.58294,0.84005,2019
9,Canada,North America and ANZ,7.2781,8.10463,0.92676,77.0,0.92508,0.50373,0.68047,2019
10,Austria,Western Europe,7.246,8.16785,0.90858,76.0,0.8429,0.43046,0.49973,2019
11,Australia,North America and ANZ,7.228,8.14412,0.95338,77.0,0.88265,0.58596,0.64054,2019
12,Costa Rica,Latin America and Caribbean,7.1674,6.14128,0.88758,76.0,0.88402,0.2552,0.20648,2019
13,Israel,Middle East and North Africa,7.1387,7.57582,0.89591,77.0,0.58706,0.46211,0.18141,2019
14,Luxembourg,Western Europe,7.0903,9.55268,0.91079,76.0,0.83353,0.34339,0.69738,2019
15,United Kingdom,Western Europe,7.0537,7.91495,0.94699,76.0,0.71212,0.61547,0.61322,2019
16,Ireland,Western Europe,7.0211,8.90223,0.95665,76.0,0.81683,0.52711,0.68534,2019
17,Germany,Western Europe,6.985,8.15021,0.8955,76.0,0.7846,0.46211,0.58535,2019
18,Belgium,Western Europe,6.923,8.04987,0.9265,76.0,0.74861,0.28242,0.46316,2019
19,United States,North America and ANZ,6.8923,8.50777,0.89757,74.0,0.71946,0.49468,0.28217,2019
20,Czech Republic,Central and Eastern Europe,6.8521,7.53554,0.9161,75.0,0.72377,0.08142,0.08061,2019
21,United Arab Emirates,Middle East and North Africa,6.8245,8.92248,0.80668,73.0,0.94804,0.46355,0.40133,2019
22,Malta,Western Europe,6.7256,7.71893,0.93597,76.0,0.89394,0.66334,0.33295,2019
23,Mexico,Latin America and Caribbean,6.5945,6.35232,0.81488,74.0,0.68613,0.12998,0.16061,2019
24,France,Western Europe,6.5921,7.86139,0.90663,77.0,0.68998,0.19634,0.40467,2019
25,Taiwan,East Asia,6.4462,8.12358,0.88099,75.0,0.55534,0.42716,0.21383,2019
26,Chile,Latin America and Caribbean,6.444,6.88166,0.84301,75.0,0.56489,0.32981,0.12394,2019
27,Guatemala,Latin America and Caribbean,6.4362,4.75186,0.78187,71.0,0.84722,0.30948,0.17194,2019
28,Saudi Arabia,Middle East and North Africa,6.3747,8.33026,0.83549,72.0,0.69496,0.14206,0.29172,2019
29,Qatar,Middle East and North Africa,6.3745,10.0,0.80871,74.0,0.8797,0.38824,0.36785,2019
30,Spain,Western Europe,6.3541,7.63488,0.91426,77.0,0.57362,0.27022,0.17355,2019
31,Panama,Latin America and Caribbean,6.3213,6.82503,0.88785,75.0,0.8169,0.19227,0.11992,2019
32,Brazil,Latin America and Caribbean,6.2998,5.96248,0.88621,72.0,0.61761,0.17536,0.18922,2019
33,Uruguay,Latin America and Caribbean,6.2933,6.6764,0.90209,74.0,0.82773,0.22358,0.33236,2019
34,Singapore,Southeast Asia,6.262,9.33188,0.90119,79.0,0.88089,0.47822,1.0,2019
35,El Salvador,Latin America and Caribbean,6.2531,4.71618,0.7647,72.0,0.68144,0.16451,0.1643,2019
36,Italy,Western Europe,6.2234,7.68618,0.91647,77.0,0.3656,0.27917,0.06596,2019
37,Bahrain,Middle East and North Africa,6.1994,8.08631,0.84227,74.0,0.84863,0.45063,0.24331,2019
38,Slovakia,Central and Eastern Europe,6.1976,7.4,0.92652,74.0,0.5294,0.21371,0.03102,2019
39,Trinidad and Tobago,Latin America and Caribbean,6.1919,7.30693,0.90947,71.0,0.77533,0.32741,0.03457,2019
40,Poland,Central and Eastern Europe,6.1817,7.16074,0.88595,74.0,0.76476,0.20633,0.11154,2019
41,Uzbekistan,Commonwealth of Independent States,6.1741,4.42445,0.94177,72.0,1.0,0.56928,0.52985,2019
42,Lithuania,Western Europe,6.149,7.35239,0.93325,73.0,0.46163,0.07536,0.09236,2019
43,Colombia,Latin America and Caribbean,6.1248,5.85077,0.86822,73.0,0.744,0.17434,0.07539,2019
44,Slovenia,Central and Eastern Europe,6.1177,7.46925,0.9381,75.0,0.8933,0.25499,0.12641,2019
45,Nicaragua,Latin America and Caribbean,6.105,4.12021,0.81577,73.0,0.68852,0.35259,0.28139,2019
46,Kosovo,Central and Eastern Europe,6.1,5.23937,0.75906,72.0,0.7754,0.46305,0.01424,2019
47,Argentina,Latin America and Caribbean,6.0863,6.48132,0.88166,74.0,0.74557,0.1165,0.10978,2019
48,Romania,Central and Eastern Europe,6.0697,6.89896,0.75848,73.0,0.73214,0.14604,0.01056,2019
49,Cyprus,,6.0458,7.50051,0.75329,77.0,0.64287,0.33664,0.08973,2019
50,Ecuador,Latin America and Caribbean,6.0276,5.41414,0.80812,74.0,0.78813,0.2231,0.19277,2019
51,Kuwait,Middle East and North Africa,6.0207,8.90841,0.8123,73.0,0.78065,0.25036,0.21516,2019
52,Thailand,Southeast Asia,6.008,6.23303,0.86769,73.0,0.88265,0.63442,0.06184,2019
53,Latvia,Western Europe,5.9397,7.04728,0.90211,73.0,0.41886,0.13241,0.14108,2019
54,South Korea,East Asia,5.8947,7.72522,0.75089,77.0,0.25236,0.30875,0.12378,2019
55,Estonia,Western Europe,5.8935,7.34417,0.94099,74.0,0.78441,0.18213,0.35525,2019
56,Jamaica,Latin America and Caribbean,5.8898,4.93592,0.91008,73.0,0.77563,0.18897,0.06239,2019
57,Mauritius,Sub-Saharan Africa,5.8882,6.64941,0.86328,72.0,0.78911,0.38051,0.1315,2019
58,Japan,East Asia,5.8861,7.87667,0.87371,78.0,0.70489,0.12169,0.30974,2019
59,Honduras,Latin America and Caribbean,5.8604,3.81447,0.76135,73.0,0.8034,0.4342,0.17303,2019
60,Kazakhstan,Commonwealth of Independent States,5.8088,6.96798,0.9286,71.0,0.64928,0.25759,0.21276,2019
61,Bolivia,Latin America and Caribbean,5.7793,4.60595,0.74474,71.0,0.81029,0.24135,0.14237,2019
62,Hungary,Central and Eastern Europe,5.7583,7.13196,0.86823,73.0,0.31589,0.14246,0.04367,2019
63,Paraguay,Latin America and Caribbean,5.7427,5.07969,0.90866,72.0,0.81454,0.32465,0.17726,2019
65,Peru,Latin America and Caribbean,5.6971,5.69922,0.78446,73.0,0.72005,0.14743,0.0605,2019
66,Portugal,Western Europe,5.6925,7.24859,0.88123,76.0,0.80494,0.08274,0.05515,2019
67,Pakistan,South Asia,5.653,4.01712,0.54585,68.0,0.49627,0.38947,0.21627,2019
68,Russia,Commonwealth of Independent States,5.6479,7.0252,0.89451,71.0,0.52956,0.14501,0.06817,2019
69,Philippines,Southeast Asia,5.6314,4.79405,0.79609,70.0,0.88426,0.20728,0.23638,2019
70,Serbia,Central and Eastern Europe,5.603,5.96054,0.85176,73.0,0.44733,0.24171,0.08527,2019
71,Moldova,Central and Eastern Europe,5.5285,4.06975,0.8179,71.0,0.38855,0.31909,0.0,2019
72,Libya,Middle East and North Africa,5.5253,6.19944,0.80267,70.0,0.6592,0.23451,0.3355,2019
73,Montenegro,Central and Eastern Europe,5.5229,6.23809,0.83806,74.0,0.31198,0.25141,0.17662,2019
74,Tajikistan,Commonwealth of Independent States,5.4673,2.92809,0.67599,71.0,0.61554,0.40597,0.31779,2019
75,Croatia,Central and Eastern Europe,5.4318,6.8564,0.77959,75.0,0.46916,0.21106,0.04876,2019
76,Hong Kong,East Asia,5.4304,8.53871,0.78625,78.0,0.69644,0.45539,0.63472,2019
77,Dominican Republic,Latin America and Caribbean,5.4253,6.02949,0.86316,72.0,0.78716,0.19959,0.224,2019
78,Bosnia and Herzegovina,Central and Eastern Europe,5.3865,5.61179,0.74622,73.0,0.33634,0.46461,0.0122,2019
79,Turkey,Middle East and North Africa,5.3726,7.02743,0.83788,73.0,0.30869,0.14748,0.23427,2019
80,Malaysia,Southeast Asia,5.3388,7.24775,0.72134,73.0,0.80502,0.45962,0.05367,2019
81,Belarus,Commonwealth of Independent States,5.3225,6.33591,0.90256,72.0,0.37207,0.16636,0.31278,2019
82,Greece,Middle East and North Africa,5.2867,7.01463,0.71213,76.0,0.10625,0.0,0.07604,2019
83,Mongolia,East Asia,5.2854,5.62809,0.94271,70.0,0.50144,0.41571,0.08387,2019
84,Macedonia,Central and Eastern Europe,5.2736,5.83769,0.79692,73.0,0.5463,0.32656,0.07501,2019
85,Nigeria,Sub-Saharan Africa,5.2646,4.1353,0.68429,62.0,0.67486,0.38055,0.09018,2019
86,Kyrgyzstan,Commonwealth of Independent States,5.2607,3.26924,0.88558,71.0,0.80438,0.53031,0.05025,2019
87,Turkmenistan,Commonwealth of Independent States,5.2467,6.24402,0.94744,70.0,0.62493,0.43133,0.06129,2019
88,Argelia,Middle East and North Africa,5.2113,5.94691,0.7142,72.0,0.1355,0.12838,0.25277,2019
89,Morocco,Middle East and North Africa,5.2081,4.75742,0.48163,72.0,0.66156,0.06292,0.16807,2019
90,Azerbaijan,Commonwealth of Independent States,5.2077,6.19207,0.70664,72.0,0.55679,0.06269,0.40235,2019
91,Lebanon,Middle East and North Africa,5.1973,5.86005,0.75397,73.0,0.34181,0.2935,0.06047,2019
92,Indonesia,Southeast Asia,5.1924,5.52577,0.74068,70.0,0.77722,0.88037,0.06293,2019
93,China,East Asia,5.1909,6.1072,0.69274,74.0,0.82563,0.10213,0.22006,2019
94,Vietnam,Southeast Asia,5.1753,4.39867,0.82913,73.0,0.85989,0.26057,0.16179,2019
95,Bhutan,South Asia,5.0821,4.82921,0.81345,69.0,0.72324,0.65477,0.36937,2019
96,Cameroon,Sub-Saharan Africa,5.0437,3.25968,0.56053,64.0,0.60354,0.33027,0.08126,2019
97,Bulgaria,Central and Eastern Europe,5.011,6.4813,0.93211,73.0,0.49234,0.14269,0.00963,2019
98,Ghana,Sub-Saharan Africa,4.9963,3.63001,0.53458,67.0,0.60278,0.43227,0.08735,2019
99,Ivory Coast,Sub-Saharan Africa,4.9438,3.38023,0.49734,62.0,0.55737,0.27201,0.19965,2019
100,Nepal,South Asia,4.9127,2.64596,0.75482,70.0,0.69592,0.50315,0.19689,2019
101,Jordan,Middle East and North Africa,4.9057,4.97014,0.75424,73.0,0.60687,0.19416,0.28725,2019
102,Benin,Sub-Saharan Africa,4.8832,2.33522,0.26943,65.0,0.55357,0.30998,0.18011,2019
103,Congo (Brazzaville),Sub-Saharan Africa,4.8115,3.99414,0.49202,67.0,0.58905,0.18547,0.20466,2019
104,Gabon,Sub-Saharan Africa,4.7992,6.27431,0.72853,68.0,0.46681,0.07572,0.12067,2019
105,Laos,Sub-Saharan Africa,4.7963,4.5378,0.63459,68.0,0.86703,0.47048,0.36288,2019
106,South Africa,Sub-Saharan Africa,4.7222,5.6985,0.83188,66.0,0.61682,0.22973,0.1209,2019
107,Albania,Central and Eastern Europe,4.7186,5.6238,0.52208,74.0,0.60727,0.31487,0.05983,2019
108,Venezuela,Latin America and Caribbean,4.7066,5.69744,0.87893,73.0,0.24332,0.11348,0.10445,2019
109,Cambodia,Southeast Asia,4.6998,3.40725,0.69131,69.0,0.9643,0.40945,0.13605,2019
110,Palestinian Territories,Middle East and North Africa,4.6963,3.89877,0.76805,70.0,0.35633,0.18183,0.14619,2019
111,Senegal,Sub-Saharan Africa,4.6811,2.67179,0.69857,68.0,0.46206,0.27053,0.15857,2019
112,Somalia,Sub-Saharan Africa,4.6679,0.0,0.42977,63.0,0.88607,0.42957,0.59754,2019
113,Namibia,Sub-Saharan Africa,4.6392,5.21667,0.80855,66.0,0.63509,0.12383,0.1242,2019
114,Niger,Sub-Saharan Africa,4.6275,0.81981,0.47646,64.0,0.50436,0.33213,0.22608,2019
115,Burkina Faso,Sub-Saharan Africa,4.5868,1.96485,0.65033,65.0,0.40323,0.31338,0.25001,2019
116,Armenia,Commonwealth of Independent States,4.5594,5.04787,0.64973,73.0,0.44773,0.16795,0.14093,2019
117,Iran,Middle East and North Africa,4.548,6.53147,0.51862,72.0,0.483,0.47686,0.27606,2019
118,Guinea,Sub-Saharan Africa,4.5344,2.25548,0.51041,65.0,0.52656,0.36503,0.1907,2019
119,Georgia,Commonwealth of Independent States,4.5191,5.26021,0.40997,72.0,0.54832,0.07627,0.36187,2019
120,Gambia,,4.5163,1.82777,0.57836,66.0,0.60555,0.47478,0.3692,2019
121,Kenya,Sub-Saharan Africa,4.5086,3.03814,0.60546,68.0,0.68221,0.65814,0.11817,2019
122,Mauritania,Middle East and North Africa,4.4903,3.38244,0.71889,67.0,0.1042,0.1866,0.19474,2019
123,Mozambique,Sub-Saharan Africa,4.4662,1.20922,0.60707,65.0,0.78218,0.34878,0.30432,2019
124,Tunisia,Middle East and North Africa,4.4606,5.46875,0.61585,73.0,0.26453,0.1039,0.12122,2019
125,Bangladesh,South Asia,4.4558,3.33871,0.5717,71.0,0.83548,0.29298,0.31678,2019
126,Iraq,Middle East and North Africa,4.4372,6.19404,0.60346,68.0,0.38121,0.26171,0.19635,2019
127,Congo (Kinshasa),Sub-Saharan Africa,4.4181,0.55863,0.69278,64.0,0.42539,0.37546,0.11762,2019
128,Mali,Sub-Saharan Africa,4.3904,2.28528,0.68039,63.0,0.51852,0.27052,0.11474,2019
129,Sierra Leone,Sub-Saharan Africa,4.3742,1.59292,0.51807,62.0,0.48972,0.4458,0.09945,2019
130,Sri Lanka,South Asia,4.3659,5.63751,0.77902,73.0,0.74517,0.43111,0.10278,2019
131,Myanmar,Southeast Asia,4.3604,4.21509,0.7271,68.0,0.83234,1.0,0.3804,2019
132,Chad,Sub-Saharan Africa,4.3495,2.07803,0.47205,61.0,0.27523,0.35038,0.1726,2019
133,Ukraine,Commonwealth of Independent States,4.3322,4.87103,0.85639,71.0,0.28197,0.33024,0.02155,2019
134,Ethiopia,Sub-Saharan Africa,4.2858,1.99761,0.63626,67.0,0.54516,0.36875,0.22145,2019
135,Swaziland,Sub-Saharan Africa,4.2116,4.81445,0.70781,58.0,0.49639,0.13074,0.29752,2019
136,Uganda,Sub-Saharan Africa,4.1894,1.97369,0.65864,66.0,0.56366,0.44562,0.13222,2019
137,Egypt,Middle East and North Africa,4.1655,5.41849,0.63992,70.0,0.38183,0.13376,0.14763,2019
138,Zambia,Sub-Saharan Africa,4.1066,3.42973,0.65167,65.0,0.68203,0.43673,0.1912,2019
139,Togo,Sub-Saharan Africa,4.0849,1.63448,0.35251,65.0,0.46411,0.31216,0.18844,2019
140,India,South Asia,4.0152,4.4826,0.47112,68.0,0.78838,0.35259,0.18714,2019
141,Liberia,Sub-Saharan Africa,3.9753,0.43301,0.5678,66.0,0.58567,0.4121,0.07262,2019
142,Comoros,Sub-Saharan Africa,3.9728,1.62986,0.46632,67.0,0.22438,0.48586,0.17252,2019
143,Madagascar,Sub-Saharan Africa,3.9327,1.62744,0.56423,68.0,0.23413,0.29867,0.08949,2019
144,Lesotho,Sub-Saharan Africa,3.8019,2.90331,0.71999,61.0,0.56815,0.18977,0.20603,2019
145,Burundi,Sub-Saharan Africa,3.7753,0.27209,0.27559,65.0,0.34837,0.31112,0.39844,2019
146,Zimbabwe,Sub-Saharan Africa,3.6632,2.172,0.68611,66.0,0.57163,0.26697,0.19725,2019
147,Haiti,Latin America and Caribbean,3.5969,1.91754,0.42393,66.0,0.04096,0.74139,0.24352,2019
148,Botswana,Sub-Saharan Africa,3.4884,6.18104,0.7054,68.0,0.7215,0.04417,0.22099,2019
149,Syria,Middle East and North Africa,3.4619,3.67412,0.23261,66.0,0.02031,0.58462,0.31105,2019
150,Malawi,Sub-Saharan Africa,3.4098,1.13398,0.34499,67.0,0.70246,0.38545,0.19701,2019
151,Yemen,Middle East and North Africa,3.3798,1.70365,0.71608,66.0,0.22665,0.19169,0.17086,2019
152,Rwanda,Sub-Saharan Africa,3.3338,2.13461,0.43793,69.0,0.87853,0.3829,0.90753,2019
153,Tanzania,Sub-Saharan Africa,3.2307,2.82558,0.54498,67.0,0.66084,0.4883,0.3251,2019
154,Afghanistan,South Asia,3.2033,2.07608,0.31842,64.0,0.0,0.27951,0.05495,2019
155,Central African Republic,Sub-Saharan Africa,3.083,0.15681,0.0,59.0,0.35688,0.41541,0.07791,2019
156,South Sudan,Sub-Saharan Africa,2.8526,1.81607,0.3541,63.0,0.01618,0.35715,0.19998,2019
1,Finland,Western Europe,7.8087,8.36344,0.96896,72.0,0.95535,0.28022,0.10373,2020
2,Denmark,Western Europe,7.6456,8.63519,0.97149,72.0,0.95928,0.42609,0.07109,2020
3,Switzerland,Western Europe,7.5599,9.05054,0.95143,74.0,0.90723,0.47218,0.23486,2020
4,Iceland,Western Europe,7.5045,8.63228,1.0,73.0,0.95487,0.63587,0.7289,2020
5,Norway,Western Europe,7.488,9.2681,0.96614,73.0,0.96672,0.5054,0.1858,2020
6,Netherlands,Western Europe,7.4489,8.71326,0.94577,72.0,0.88512,0.59022,0.30871,2020
7,Sweden,Western Europe,7.3535,8.60451,0.92619,73.0,0.93801,0.4788,0.17086,2020
