sex;age;Medu;Fedu;traveltime;studytime;failures;schoolsup;internet;higher;activities;absences;freetime;goout;Walc;G1;G2;G3
M;16;3;2;1;1;0;no;yes;yes;no;0;4;3;1;12;14;15
F;15;2;3;2;1;0;no;no;yes;yes;0;5;1;1;8;7;6
M;15;4;3;1;3;0;no;yes;yes;yes;2;4;3;1;15;16;18
M;16;4;4;2;3;0;no;yes;yes;yes;7;4;3;1;15;16;15
F;15;3;4;1;3;0;yes;yes;yes;yes;2;3;2;1;12;12;11
F;15;2;2;1;1;0;yes;no;yes;yes;8;3;1;1;14;13;13
F;16;2;2;2;2;1;no;yes;yes;yes;25;3;3;2;7;10;11
M;15;4;4;1;1;0;no;yes;yes;no;8;4;3;4;12;12;12
M;15;4;4;1;2;0;no;yes;yes;yes;2;3;3;1;19;18;18
M;15;2;2;1;1;0;yes;yes;yes;no;0;4;1;1;8;8;11
F;16;2;2;2;2;1;yes;yes;yes;yes;14;3;3;2;10;10;9
F;15;4;3;1;2;0;yes;yes;yes;yes;8;2;2;1;8;8;6
F;16;3;3;1;2;0;no;yes;yes;no;12;3;5;4;11;12;11
M;16;4;3;1;4;0;no;yes;yes;yes;4;2;2;1;19;19;20
M;15;4;2;1;2;0;no;no;yes;no;2;3;3;2;15;15;14
F;15;4;4;1;2;1;yes;yes;yes;yes;2;4;4;1;7;7;7
F;16;2;2;3;2;0;no;yes;yes;no;2;3;3;3;12;13;13
F;15;4;2;1;2;0;no;yes;yes;no;2;3;3;1;11;13;13
M;15;4;2;2;1;1;no;no;yes;no;6;5;5;4;11;11;10
F;15;4;4;1;1;0;yes;yes;yes;no;0;3;4;3;8;10;11
F;15;3;3;1;1;0;no;yes;yes;no;6;3;4;4;10;13;13
F;16;2;1;1;2;0;no;yes;yes;yes;8;3;4;1;8;9;10
F;15;4;3;1;2;0;no;yes;yes;yes;0;3;2;1;14;15;15
M;15;4;4;1;2;0;no;no;yes;yes;4;2;2;1;14;15;15
M;15;1;2;1;2;0;yes;yes;yes;yes;2;3;2;1;9;10;9
F;16;4;2;1;2;0;no;yes;yes;no;2;2;3;1;15;16;16
F;16;4;4;1;2;0;no;no;yes;yes;6;4;4;3;10;11;11
F;16;1;1;4;1;0;yes;yes;yes;yes;6;5;5;5;10;8;11
F;16;1;2;1;2;0;yes;yes;yes;yes;4;4;3;1;8;10;9
F;16;4;3;1;3;0;yes;yes;yes;yes;2;4;4;4;10;9;9
F;15;4;3;1;2;0;yes;yes;yes;yes;0;4;4;4;10;10;10
F;16;4;3;3;2;0;no;yes;yes;yes;2;4;3;2;16;15;15
M;15;4;4;1;4;0;no;yes;yes;yes;4;3;3;5;13;13;12
F;16;3;1;1;4;0;yes;yes;yes;no;4;3;3;2;7;7;6
F;15;2;2;2;2;0;yes;yes;yes;no;2;1;3;3;8;9;8
F;15;3;1;2;4;0;no;yes;yes;no;12;4;2;3;16;16;16
M;16;3;1;2;4;0;no;yes;yes;no;0;3;2;1;13;15;15
M;15;4;2;1;4;0;no;yes;yes;no;0;3;3;1;10;10;10
F;15;1;1;1;2;2;yes;yes;yes;no;2;3;4;4;8;6;5
M;16;3;1;1;1;0;no;no;yes;yes;2;3;2;2;12;12;14
F;16;3;3;1;2;0;yes;yes;yes;yes;54;3;3;4;11;12;11
M;15;4;3;1;2;0;no;yes;yes;yes;6;3;3;3;9;9;10
M;15;4;0;2;4;0;no;yes;yes;yes;8;4;3;1;11;11;10
F;16;2;2;1;4;0;no;yes;yes;no;0;2;3;3;11;11;11
M;17;2;1;2;1;3;yes;yes;no;yes;2;5;1;1;8;8;10
F;16;3;4;1;2;0;no;yes;yes;no;12;4;3;2;5;5;5
M;15;2;3;1;1;0;yes;yes;yes;yes;2;2;2;3;10;12;12
M;15;2;3;1;3;0;yes;yes;yes;no;4;3;2;2;11;10;11
F;15;3;2;1;2;0;no;yes;yes;no;10;4;4;1;7;6;6
M;15;2;2;2;2;0;no;yes;yes;yes;4;3;3;3;15;15;15
F;15;1;1;1;2;0;no;yes;yes;yes;2;3;2;3;9;10;10
F;15;4;4;2;2;2;no;yes;yes;no;6;4;4;3;7;9;8
F;16;2;2;1;2;0;no;no;yes;no;4;3;4;2;8;7;6
F;15;4;2;1;3;0;no;yes;yes;yes;4;3;3;3;13;14;14
M;16;2;2;2;2;1;no;yes;yes;yes;12;4;2;1;11;10;10
M;16;4;4;1;2;0;no;no;yes;no;18;1;3;5;8;6;7
F;16;3;3;1;3;0;no;yes;yes;no;0;3;3;3;7;7;8
F;15;4;3;1;1;0;no;yes;yes;yes;4;5;5;3;16;17;18
F;16;3;1;1;2;0;yes;no;yes;no;4;3;3;3;7;6;6
F;16;4;2;2;2;0;no;yes;yes;yes;0;3;3;1;11;10;10
M;15;2;2;1;4;0;no;yes;yes;yes;6;3;4;1;11;13;14
F;15;1;1;2;4;1;yes;yes;yes;yes;2;1;2;1;7;10;10
M;16;4;3;2;1;0;yes;yes;yes;yes;2;3;3;1;11;15;15
F;16;2;1;1;2;0;no;no;yes;no;2;3;5;1;8;9;10
F;16;4;4;1;1;0;no;yes;yes;yes;6;3;4;2;11;14;14
F;16;4;3;1;3;0;yes;yes;yes;no;0;3;5;1;7;9;8
M;16;4;4;1;1;0;yes;yes;yes;yes;14;5;5;5;7;7;5
M;16;4;4;1;3;0;no;yes;yes;yes;0;4;3;1;16;17;17
M;15;4;4;1;1;0;no;yes;yes;yes;4;3;3;1;10;13;14
F;15;3;2;2;2;0;yes;yes;yes;no;26;3;5;1;7;6;6
M;15;3;4;1;2;0;no;yes;yes;yes;0;4;4;1;16;18;18
F;15;3;3;1;4;0;yes;no;yes;no;10;3;3;1;10;11;11
F;15;2;2;1;4;0;yes;yes;yes;no;8;1;2;1;7;8;8
M;16;3;3;1;3;0;no;yes;yes;yes;2;3;3;1;16;18;18
M;15;4;4;4;4;0;no;yes;yes;yes;6;3;5;5;10;13;13
F;16;4;4;1;3;0;no;yes;yes;yes;4;4;5;1;14;15;16
M;15;4;4;1;1;0;no;yes;yes;yes;6;5;3;1;18;19;19
F;16;3;3;1;3;1;yes;yes;yes;yes;0;1;2;1;7;10;10
F;16;2;2;1;2;1;yes;yes;yes;yes;6;1;2;1;10;13;13
M;15;4;2;1;1;0;no;yes;yes;no;10;5;2;1;18;19;19
M;15;2;1;1;2;0;no;yes;yes;yes;8;4;2;1;9;9;9
M;16;4;4;1;2;0;no;yes;yes;yes;2;4;4;2;15;15;16
M;15;4;4;2;2;0;no;no;yes;yes;2;4;3;1;11;13;14
M;16;3;3;2;1;0;no;yes;yes;yes;0;4;2;1;13;14;13
M;17;1;3;3;2;1;no;yes;yes;yes;20;2;4;4;9;7;8
M;15;3;4;1;1;0;no;yes;yes;no;6;4;3;2;14;13;13
F;15;1;2;1;2;0;no;yes;yes;no;2;2;3;2;16;15;15
M;15;2;2;1;4;0;no;yes;yes;yes;6;5;4;2;16;14;15
F;16;2;4;2;2;0;no;yes;yes;yes;2;2;2;2;13;13;13
M;16;4;4;1;1;0;no;yes;yes;yes;18;4;4;4;14;11;13
F;16;2;2;1;2;0;no;yes;yes;no;0;4;4;1;8;7;8
M;15;3;4;1;1;0;yes;yes;yes;no;0;5;5;2;13;13;12
F;15;3;4;1;2;0;yes;yes;yes;yes;0;3;2;1;7;10;11
F;19;0;1;1;2;3;no;no;no;no;2;4;2;1;7;8;9
M;18;2;2;1;1;2;no;yes;yes;yes;0;3;3;2;7;4;0
M;16;4;4;1;1;0;no;yes;yes;yes;8;5;5;5;18;18;18
F;15;3;4;2;3;2;no;yes;yes;no;0;2;2;2;12;0;0
F;15;1;1;3;1;0;no;yes;yes;yes;0;3;3;2;8;0;0
F;17;2;2;1;1;0;no;yes;yes;no;12;4;4;3;10;13;12
F;16;3;4;1;1;0;no;yes;yes;no;16;2;1;4;12;11;11
M;15;3;4;4;2;0;no;no;yes;no;0;3;3;1;9;0;0
F;15;4;4;1;3;0;no;yes;yes;yes;0;3;3;1;11;0;0
M;17;3;4;3;2;0;no;no;yes;no;0;4;5;4;10;0;0
F;16;3;3;2;1;2;no;yes;yes;yes;0;3;2;1;4;0;0
M;16;1;1;1;2;1;no;no;yes;no;0;4;4;3;14;12;12
F;15;4;4;2;1;0;no;yes;yes;yes;0;3;2;1;16;16;15
M;15;4;3;2;4;0;yes;yes;yes;no;0;2;2;1;7;9;0
M;16;2;2;2;1;2;no;yes;yes;yes;8;3;3;2;9;9;9
F;15;4;4;1;3;0;no;yes;yes;yes;2;2;2;1;9;11;11
F;16;1;1;1;1;0;no;yes;yes;no;2;4;4;3;14;14;13
M;17;2;1;1;1;3;no;yes;yes;no;0;4;5;2;5;0;0
F;15;1;1;1;2;0;no;yes;yes;no;0;4;2;2;8;11;11
F;15;3;2;1;2;3;no;yes;yes;no;0;3;2;1;6;7;0
F;15;1;2;1;2;0;no;yes;yes;no;2;3;2;1;10;11;11
M;16;4;4;1;1;0;no;yes;no;no;0;3;2;1;7;6;0
M;15;2;1;4;1;3;no;yes;yes;no;0;5;5;5;8;9;10
M;18;1;1;1;1;3;no;yes;no;no;0;3;5;5;6;5;0
M;16;2;1;1;1;1;no;no;yes;yes;6;4;4;5;12;13;14
F;15;3;3;2;3;2;no;yes;yes;yes;8;2;1;3;10;10;10
M;19;3;2;1;1;3;no;yes;no;no;0;5;4;1;5;0;0
F;17;4;4;1;1;0;yes;no;yes;no;0;2;1;1;11;11;12
M;15;2;3;1;2;0;yes;no;yes;yes;2;4;4;1;11;8;8
M;17;1;2;1;1;0;no;no;yes;no;8;2;2;3;16;12;13
F;18;1;1;3;1;3;no;no;yes;yes;6;2;5;5;9;8;10
M;16;2;2;3;1;0;no;no;yes;no;2;2;2;2;17;15;15
M;16;3;3;1;2;1;no;yes;yes;no;4;5;5;4;10;12;12
M;17;2;1;2;1;2;no;yes;no;yes;0;3;2;2;7;6;0
M;15;3;2;2;2;2;yes;yes;yes;no;6;4;4;4;5;9;7
M;16;1;2;2;1;1;no;no;yes;yes;0;4;4;4;7;0;0
M;17;1;3;1;1;0;no;yes;no;no;2;3;3;4;10;10;10
M;17;1;1;4;2;3;no;no;no;yes;0;3;5;5;5;8;7
M;16;3;2;2;1;1;no;no;no;yes;16;5;2;1;12;11;12
M;16;2;2;1;2;0;no;yes;no;no;4;3;5;4;10;10;10
F;16;4;2;1;2;0;no;yes;yes;no;0;2;3;1;14;15;16
F;16;2;2;1;2;0;no;yes;yes;no;0;1;5;1;6;7;0
F;16;4;4;1;2;0;no;yes;yes;no;0;4;2;1;14;14;14
M;16;3;4;3;1;2;no;yes;yes;yes;0;4;5;4;6;5;0
M;16;1;0;2;2;0;no;yes;yes;yes;2;3;2;1;13;15;16
M;17;4;4;1;2;0;no;yes;yes;yes;0;4;4;3;13;11;10
F;16;1;3;1;2;3;no;yes;yes;yes;0;3;5;1;8;7;0
F;16;3;3;2;2;0;no;yes;yes;yes;4;4;5;1;10;11;9
M;17;4;3;2;2;0;no;yes;yes;yes;4;4;4;4;10;9;9
F;16;2;2;2;2;0;no;yes;yes;yes;2;4;4;4;13;13;11
M;17;3;3;1;2;0;no;yes;yes;yes;4;3;4;4;6;5;6
M;16;4;2;1;1;0;no;yes;yes;yes;10;3;3;4;10;8;9
M;17;4;3;1;2;0;no;yes;yes;yes;4;2;3;1;10;10;11
M;16;4;3;1;2;0;no;yes;yes;yes;10;4;3;3;9;8;8
M;16;3;3;1;2;0;no;yes;yes;yes;2;2;3;2;12;13;12
F;17;2;4;1;2;0;no;no;yes;yes;0;4;2;3;16;17;17
F;17;3;3;1;2;0;no;yes;yes;yes;56;3;3;3;9;9;8
F;16;3;2;1;2;0;no;yes;yes;no;14;2;2;2;12;13;12
M;17;3;3;1;2;0;no;yes;yes;yes;12;3;4;3;12;12;11
M;16;1;2;1;1;0;no;yes;yes;yes;2;3;3;2;11;12;11
M;16;2;1;1;2;0;no;yes;yes;yes;0;2;3;2;15;15;15
F;17;3;3;1;2;0;no;yes;yes;no;6;3;3;3;8;7;9
M;17;1;2;1;2;0;no;no;yes;no;4;1;3;5;8;9;10
F;16;2;3;1;2;0;no;yes;yes;no;10;3;3;1;11;12;13
F;17;1;1;1;2;0;no;yes;yes;yes;0;3;3;1;8;8;9
M;17;1;2;2;2;0;no;yes;yes;yes;12;4;4;5;7;8;8
M;16;3;3;1;1;0;no;yes;yes;yes;8;3;2;4;8;9;10
M;16;2;3;2;1;0;no;yes;yes;no;0;3;3;1;13;14;14
F;17;2;4;1;2;0;no;yes;yes;yes;0;3;2;1;14;15;15
M;17;4;4;1;1;0;no;yes;yes;no;4;2;3;2;17;15;16
M;16;3;3;3;1;0;no;yes;yes;yes;8;3;4;5;9;9;10
F;17;4;4;2;1;1;no;yes;yes;no;24;2;4;3;18;18;18
F;16;4;4;1;2;0;no;yes;yes;no;0;5;2;2;9;9;10
F;16;4;3;1;2;0;no;yes;yes;yes;2;3;5;5;16;16;16
F;16;2;3;1;2;0;yes;no;yes;yes;6;4;3;3;8;10;10
F;17;1;1;1;2;0;no;no;yes;no;4;4;4;3;9;9;10
F;17;2;2;1;1;0;no;yes;yes;no;18;3;2;2;7;6;6
F;16;2;2;2;4;0;no;yes;yes;yes;6;3;5;1;10;10;11
F;17;3;4;1;3;1;no;yes;yes;no;28;4;3;4;10;9;9
F;16;3;1;1;2;3;no;yes;yes;no;5;3;3;2;7;7;7
F;16;4;3;1;2;0;no;yes;yes;yes;10;3;2;1;11;12;13
F;16;1;1;2;1;0;no;no;yes;no;6;3;2;4;9;9;10
F;17;4;3;2;3;0;no;yes;yes;yes;6;4;2;1;7;7;7
F;19;3;3;1;4;0;no;yes;yes;yes;10;3;3;2;8;8;8
M;17;4;4;1;2;0;no;yes;yes;no;13;3;5;5;12;12;13
F;16;2;2;1;2;0;yes;yes;yes;no;0;3;4;1;12;13;14
M;18;2;2;1;2;1;no;yes;yes;yes;15;4;4;4;6;7;8
F;17;4;4;1;1;0;no;no;yes;no;12;2;1;2;8;10;10
F;17;3;2;2;2;0;no;yes;yes;no;2;4;4;3;14;15;15
F;17;4;3;1;2;2;no;yes;yes;no;22;4;5;4;6;6;4
M;18;3;3;1;2;1;no;yes;yes;no;13;2;4;4;6;6;8
F;17;2;3;2;1;0;no;no;yes;no;3;3;3;4;7;7;8
F;17;2;2;1;3;0;no;yes;yes;yes;4;3;3;1;9;10;10
F;17;2;1;2;2;0;no;yes;yes;yes;2;2;5;2;6;6;6
F;17;1;1;1;3;1;no;no;yes;yes;0;3;4;1;6;5;0
F;16;2;3;1;2;0;yes;yes;yes;no;2;3;1;1;16;16;17
M;18;2;2;2;2;0;no;yes;yes;no;0;3;3;5;12;13;13
F;16;4;4;1;3;0;no;yes;yes;yes;0;3;2;1;13;13;14
F;18;3;1;1;2;1;no;yes;yes;yes;16;3;3;1;9;8;7
F;17;3;2;1;2;0;no;yes;yes;yes;10;3;4;3;16;15;15
M;17;2;3;1;2;0;no;yes;yes;no;2;3;3;3;12;11;12
M;18;2;1;4;2;0;yes;yes;yes;yes;14;3;2;5;10;8;9
F;17;2;1;2;3;0;no;yes;yes;yes;10;2;3;2;12;10;12
F;17;4;3;1;2;0;no;yes;yes;yes;14;2;3;2;13;13;14
M;17;2;2;2;2;0;no;yes;yes;yes;4;5;2;1;11;11;11
M;17;4;4;1;2;0;yes;yes;yes;yes;14;5;5;3;11;9;9
M;16;4;4;1;2;0;no;yes;yes;yes;2;2;4;4;14;13;13
M;16;1;1;2;2;0;no;yes;yes;no;18;4;2;1;9;7;6
M;16;3;2;2;3;0;no;yes;yes;yes;10;3;3;3;11;9;10
M;17;2;2;1;2;0;no;yes;yes;yes;4;4;2;5;14;13;13
F;16;2;1;1;1;0;no;yes;yes;no;20;5;2;1;13;12;12
F;17;2;1;3;2;0;no;no;yes;yes;2;1;1;1;13;11;11
M;18;2;2;1;2;1;no;yes;no;no;0;5;4;5;7;7;0
M;17;4;3;2;2;0;no;yes;yes;yes;14;5;5;4;12;12;12
M;17;4;4;2;2;0;no;yes;yes;no;2;3;3;3;10;11;12
M;16;4;3;1;1;0;no;yes;yes;yes;0;4;5;1;6;0;0
M;16;4;4;1;1;0;no;yes;yes;yes;0;3;2;2;13;12;12
F;18;2;1;2;3;0;no;yes;yes;no;0;4;4;1;7;0;0
M;16;2;1;3;1;0;no;yes;yes;no;6;3;3;1;18;18;18
M;17;2;3;2;1;0;no;yes;yes;no;4;2;2;1;12;12;13
M;22;3;1;1;1;3;no;yes;no;no;16;4;5;5;6;8;8
M;18;3;3;1;2;1;no;yes;yes;no;8;3;3;3;3;5;5
M;16;0;2;1;1;0;no;yes;yes;no;0;3;2;4;13;15;15
M;18;3;2;2;1;1;no;yes;no;no;0;4;5;4;6;8;8
M;16;3;3;3;2;0;yes;yes;yes;no;6;3;3;3;7;10;10
M;18;2;1;1;1;1;no;yes;no;no;4;2;5;5;6;9;8
M;16;2;1;2;1;0;no;no;yes;yes;0;3;2;3;8;9;8
M;17;2;1;1;1;0;no;yes;yes;no;0;4;2;4;8;12;12
M;17;1;1;2;1;1;no;yes;yes;yes;2;4;4;2;7;9;8
F;17;4;2;1;4;0;no;yes;yes;yes;6;2;3;1;14;12;13
M;19;4;3;1;2;0;no;yes;yes;no;12;3;1;1;11;11;11
M;18;2;1;1;2;0;no;yes;yes;yes;8;2;4;2;15;14;14
F;17;2;2;1;4;0;no;yes;yes;yes;0;4;1;1;10;9;0
F;18;4;3;1;2;0;no;yes;yes;no;21;1;2;3;17;18;18
M;18;4;3;1;2;0;no;yes;yes;no;2;3;2;1;8;8;8
M;18;3;2;1;3;0;no;no;yes;yes;1;3;2;1;13;12;12
F;17;3;3;1;3;0;no;no;yes;yes;4;2;3;1;10;9;9
F;18;2;2;1;3;0;no;yes;yes;yes;0;3;3;1;9;10;0
M;18;3;4;2;2;0;no;yes;yes;yes;13;2;5;4;17;17;17
M;17;3;1;1;2;0;no;yes;yes;yes;2;4;4;4;9;9;10
F;18;4;4;2;2;0;no;yes;yes;yes;8;3;4;2;12;10;11
M;18;4;2;1;2;0;no;yes;yes;yes;10;4;5;3;10;9;10
F;18;2;1;2;2;0;no;yes;no;no;0;3;5;2;6;0;0
F;19;3;3;1;2;2;no;yes;yes;yes;15;3;5;3;9;9;9
F;18;2;3;1;4;0;no;yes;yes;yes;4;5;5;3;15;14;14
F;18;1;1;2;2;0;no;no;yes;no;2;4;3;1;11;11;11
M;17;1;2;1;2;0;no;no;yes;yes;2;5;2;2;15;14;14
F;17;2;4;2;2;0;no;yes;yes;no;2;3;3;1;10;10;10
F;17;2;2;2;2;0;yes;yes;yes;no;6;4;4;3;12;12;12
F;18;3;2;2;2;0;no;yes;no;no;75;1;1;1;10;9;9
M;18;4;4;2;1;0;no;yes;yes;yes;22;2;4;4;9;9;9
F;18;4;4;1;2;1;yes;yes;yes;yes;15;4;4;1;9;8;8
M;18;4;3;2;1;0;no;yes;yes;yes;8;2;3;2;10;11;10
M;17;4;1;2;1;0;no;yes;yes;yes;30;5;4;4;8;8;8
M;17;3;2;1;1;1;no;yes;yes;no;19;4;4;4;11;9;10
F;18;1;1;2;4;0;no;no;yes;yes;1;2;2;1;12;12;12
F;18;1;1;2;2;0;yes;yes;yes;yes;4;4;4;1;8;9;10
F;17;2;2;1;2;0;no;yes;yes;no;4;4;5;2;10;9;11
M;17;1;1;1;2;0;no;yes;yes;no;2;3;3;2;12;10;11
F;18;2;2;1;3;0;no;yes;yes;no;5;3;3;2;18;18;19
F;17;1;1;1;3;0;no;yes;yes;no;6;3;3;1;13;12;12
M;18;2;1;1;3;0;no;yes;yes;yes;6;2;4;3;15;14;14
M;18;4;4;1;2;0;no;yes;yes;yes;9;4;3;1;15;13;15
M;18;4;2;1;2;0;no;yes;yes;yes;11;3;2;4;12;11;11
F;17;4;3;1;3;0;no;yes;yes;no;0;2;2;2;15;15;15
F;18;2;1;1;2;1;no;yes;yes;no;12;4;3;1;12;12;13
F;17;3;1;2;4;0;no;no;yes;no;6;1;2;1;18;18;18
M;18;3;2;2;3;0;no;yes;yes;yes;8;4;2;1;14;13;14
M;17;3;3;1;1;0;no;yes;yes;no;4;4;3;3;14;12;11
F;19;4;4;2;2;0;no;yes;yes;yes;0;3;4;3;10;9;0
F;18;4;3;2;2;0;no;yes;yes;no;10;4;5;2;10;8;8
F;18;4;3;1;4;0;no;yes;yes;no;0;3;3;1;14;13;14
M;18;4;4;1;1;0;no;yes;yes;no;5;4;2;2;16;15;16
F;18;4;4;1;2;0;no;yes;yes;no;14;2;4;1;12;10;11
M;17;4;4;2;1;0;no;yes;yes;no;0;1;1;2;11;11;10
F;17;4;2;2;3;0;no;yes;yes;no;0;3;3;1;15;12;14
F;17;3;2;1;4;0;no;yes;yes;yes;0;2;2;2;17;17;18
M;19;3;3;1;2;1;no;yes;yes;yes;20;4;4;1;15;14;13
F;18;2;4;1;2;1;no;yes;yes;yes;8;4;3;1;14;12;12
M;20;3;2;1;1;0;no;no;yes;yes;0;5;3;1;17;18;18
M;19;4;4;2;1;1;no;yes;yes;no;38;3;4;1;8;9;8
M;19;3;3;1;2;1;no;no;yes;yes;0;5;3;2;15;12;12
F;19;1;1;1;2;1;yes;yes;yes;yes;18;4;3;3;12;10;10
F;19;1;2;1;2;1;no;no;yes;yes;0;2;4;2;9;9;0
F;19;2;1;3;2;0;no;yes;no;no;20;4;1;1;14;12;13
M;19;1;2;1;2;1;no;yes;yes;no;3;5;2;2;13;11;11
F;19;3;2;2;2;1;no;yes;yes;no;22;2;2;2;13;10;11
F;19;1;1;1;3;2;no;yes;yes;no;14;1;2;1;15;13;13
F;19;2;3;1;3;1;no;yes;yes;no;40;1;2;1;13;11;11
F;18;2;1;2;2;0;no;yes;yes;yes;0;3;3;2;8;8;0
F;18;4;3;1;3;0;no;yes;yes;yes;9;3;4;1;9;10;9
F;17;3;4;1;3;0;no;yes;yes;yes;0;3;4;5;11;11;10
F;18;4;4;1;2;0;no;yes;yes;no;2;4;4;3;11;11;11
F;17;4;3;1;2;0;no;yes;yes;no;23;2;2;2;13;13;13
F;17;2;2;1;2;0;no;no;yes;no;12;2;2;1;11;9;9
F;17;2;2;1;3;0;no;yes;yes;yes;3;3;2;2;11;11;11
F;17;3;1;1;3;0;no;yes;yes;no;1;4;3;3;12;14;15
F;17;0;2;2;3;0;no;yes;yes;no;0;3;3;3;16;15;15
M;18;4;4;1;3;0;no;yes;yes;yes;3;3;3;2;9;12;11
M;17;3;3;1;1;0;no;yes;yes;yes;3;3;5;5;14;15;16
M;17;2;2;4;1;0;no;yes;yes;no;8;4;5;5;11;10;10
F;17;4;4;1;3;0;no;yes;yes;yes;7;4;4;3;10;9;9
F;17;4;4;2;3;0;no;yes;yes;no;4;3;3;2;14;14;14
M;18;2;2;1;4;0;no;yes;yes;yes;2;5;5;4;9;8;8
F;17;2;4;1;3;0;no;yes;yes;no;7;4;3;1;12;14;14
F;18;3;3;1;2;0;no;yes;yes;yes;0;3;4;1;7;0;0
F;18;2;2;1;2;0;no;yes;yes;yes;0;3;3;1;8;8;0
F;18;2;2;2;4;0;no;no;yes;yes;0;4;4;1;10;9;0
F;17;3;4;1;3;0;no;yes;yes;no;16;4;5;3;16;15;15
F;19;3;1;1;3;1;no;no;yes;no;12;4;3;2;14;13;13
F;17;3;2;1;2;0;no;yes;yes;no;0;3;2;3;7;8;0
F;18;3;3;1;4;0;no;yes;yes;no;7;3;3;1;16;15;17
F;17;3;2;1;2;0;no;yes;yes;no;4;3;3;3;9;10;10
F;19;2;1;1;3;1;no;yes;yes;yes;4;3;4;3;11;12;11
M;18;4;4;1;2;1;no;yes;yes;yes;0;3;3;2;10;10;0
M;18;3;4;1;2;0;no;yes;yes;yes;11;3;3;3;16;15;15
F;17;2;2;1;2;1;no;yes;yes;no;0;3;1;2;9;8;0
F;18;2;3;1;3;0;no;yes;yes;no;4;3;3;2;11;10;10
F;18;3;2;1;3;0;no;yes;yes;no;7;4;3;3;13;13;14
M;18;4;3;1;3;0;no;yes;yes;no;9;3;2;2;16;15;16
M;18;4;3;1;3;0;no;yes;yes;no;0;4;5;3;10;10;9
F;17;4;3;1;3;0;no;yes;yes;yes;0;4;3;3;13;15;15
M;18;3;2;2;1;1;no;yes;yes;no;10;5;5;5;11;13;13
M;19;1;1;3;2;3;no;yes;yes;no;8;4;4;3;8;7;8
M;17;3;3;2;2;0;no;yes;yes;no;2;5;4;3;13;13;13
M;18;1;3;1;1;1;no;yes;no;no;7;3;3;3;8;7;8
M;19;1;1;3;1;1;no;yes;yes;no;4;4;4;3;8;8;8
M;17;4;3;2;2;0;no;yes;yes;yes;4;5;5;3;13;11;11
F;18;3;3;1;2;0;no;no;yes;no;0;3;4;1;10;9;9
F;17;4;4;2;2;0;no;yes;yes;yes;4;3;3;2;12;13;13
F;17;3;2;2;2;0;no;no;yes;no;2;2;3;2;12;12;11
M;18;1;1;2;1;0;no;yes;yes;no;4;3;2;2;10;10;10
F;18;1;1;2;3;0;no;yes;yes;no;0;3;2;1;18;16;16
